iter	RMSE
0	9.153690607
1	9.120155006
2	9.107859798
3	9.072618384
4	9.033417577
5	9.003053438
6	8.98411327
7	8.942998265
8	8.898938816
9	8.849565577
10	8.814647299
11	8.776726428
12	8.755139659
13	8.713331129
14	8.685047335
15	8.651731043
16	8.632983523
17	8.613124237
18	8.587755413
19	8.551890727
20	8.520133736
21	8.50008756
22	8.457183028
23	8.425464283
24	8.393836488
25	8.363475264
26	8.342334031
27	8.325797963
28	8.302693033
29	8.26465043
30	8.243603014
31	8.228807822
32	8.201853263
33	8.189238094
34	8.151061308
35	8.126658934
36	8.099489279
37	8.083110528
38	8.054143438
39	8.022155457
40	7.992131687
41	7.963528097
42	7.941840536
43	7.920638736
44	7.89209832
45	7.874239655
46	7.847184704
47	7.819918672
48	7.793986215
49	7.765091133
50	7.73615445
51	7.714866532
52	7.694536264
53	7.675574801
54	7.645009881
55	7.616058618
56	7.596201911
57	7.571335089
58	7.552473109
59	7.532785414
60	7.503687106
61	7.473364859
62	7.453078331
63	7.439494741
64	7.403498957
65	7.377211914
66	7.349612186
67	7.325725437
68	7.30350187
69	7.272004393
70	7.251880406
71	7.227825409
72	7.212766945
73	7.202028933
74	7.185141255
75	7.165869826
76	7.154157232
77	7.142960491
78	7.115089353
79	7.098269937
80	7.08315841
81	7.05716174
82	7.034789889
83	7.011863955
84	6.993519477
85	6.982370059
86	6.961253503
87	6.941824634
88	6.911994006
89	6.90366316
90	6.882979249
91	6.862001153
92	6.837570705
93	6.815919627
94	6.796736749
95	6.778716824
96	6.749410404
97	6.730288301
98	6.711824809
99	6.690033523
100	6.672800122
101	6.651583696
102	6.639714543
103	6.620899132
104	6.597095759
105	6.581158098
106	6.571561969
107	6.542210117
108	6.525951297
109	6.506029852
110	6.484981509
111	6.466990227
112	6.445298313
113	6.435626962
114	6.418471195
115	6.405984204
116	6.386762317
117	6.37243274
118	6.34585049
119	6.329989971
120	6.313713123
121	6.294161743
122	6.282095532
123	6.271155002
124	6.257793818
125	6.239860915
126	6.225335055
127	6.203439604
128	6.18297449
129	6.164503501
130	6.143616993
131	6.122414947
132	6.107190466
133	6.100318148
134	6.088865237
135	6.066493083
136	6.05563538
137	6.040497192
138	6.025448667
139	6.001856816
140	5.984743963
141	5.966259656
142	5.954170932
143	5.942239165
144	5.926578482
145	5.911479646
146	5.89470575
147	5.882999441
148	5.867290473
149	5.850654026
150	5.83716928
151	5.822371418
152	5.803275352
153	5.788502014
154	5.771544229
155	5.754415091
156	5.746184242
157	5.731020262
158	5.720948673
159	5.710803507
160	5.696948404
161	5.68443261
162	5.678954637
163	5.654013714
164	5.640178093
165	5.62428411
166	5.606274396
167	5.59171039
168	5.583673387
169	5.580732827
170	5.562120145
171	5.553584932
172	5.542117909
173	5.531388049
174	5.514515453
175	5.507206515
176	5.488265371
177	5.473799968
178	5.462798205
179	5.450238656
180	5.426942778
181	5.417221404
182	5.404627497
183	5.383526055
184	5.367663938
185	5.349846177
186	5.339423528
187	5.332469856
188	5.323449232
189	5.307045806
190	5.288816709
191	5.278959945
192	5.256374568
193	5.240886806
194	5.229993949
195	5.22137908
196	5.214448599
197	5.206491963
198	5.199040748
199	5.190092792
200	5.170729841
201	5.147911587
202	5.133601698
203	5.122162619
204	5.115893799
205	5.09676838
206	5.091314224
207	5.083177091
208	5.06812893
209	5.060016567
210	5.046639327
211	5.04235023
212	5.032706802
213	5.025437123
214	5.017970814
215	5.009636572
216	5.003108916
