iter	Passed	Remaining
0	1	1027
1	2	842
2	2	712
3	3	794
4	5	904
5	6	891
6	7	854
7	8	839
8	9	851
9	10	837
10	11	815
11	12	811
12	13	799
13	13	784
14	14	778
15	15	776
16	16	764
17	17	764
18	18	775
19	20	816
20	21	809
21	22	796
22	23	783
23	23	771
24	24	760
25	25	750
26	26	746
27	27	747
28	27	740
29	28	732
30	29	725
31	29	718
32	30	712
33	31	707
34	32	700
35	32	695
36	33	694
37	35	719
38	37	724
39	37	719
40	38	714
41	39	709
42	40	709
43	41	704
44	41	699
45	42	694
46	43	689
47	43	684
48	44	681
49	45	676
50	45	672
51	46	668
52	47	664
53	47	660
54	48	658
55	49	663
56	50	660
57	51	657
58	52	655
59	52	652
60	53	652
61	55	655
62	55	653
63	56	651
64	57	649
65	58	646
66	58	643
67	59	640
68	60	637
69	60	634
70	61	631
71	62	629
72	62	626
73	63	625
74	64	625
75	65	619
76	65	616
77	66	618
78	67	615
79	68	613
80	68	611
81	69	609
82	70	607
83	71	605
84	71	603
85	72	601
86	73	598
87	73	596
88	74	594
89	75	592
90	75	590
91	76	588
92	77	586
93	77	584
94	78	583
95	79	583
96	80	584
97	81	583
98	82	582
99	84	588
100	84	586
101	85	584
102	86	582
103	86	580
104	87	578
105	88	576
106	88	574
107	89	572
108	90	571
109	90	569
110	91	567
111	92	565
112	92	564
113	93	562
114	94	561
115	95	562
116	96	563
117	97	563
118	98	561
119	99	561
120	99	560
121	100	558
122	101	556
123	101	554
124	102	553
125	103	551
126	103	549
127	104	548
128	105	546
129	105	545
130	106	543
131	107	542
132	107	541
133	108	537
134	109	536
135	109	536
136	111	539
137	112	541
138	113	541
139	114	541
140	115	540
141	116	539
142	117	538
143	117	536
144	118	535
145	119	533
146	119	532
147	120	530
148	121	529
149	121	527
150	122	527
151	123	526
152	124	527
153	126	529
154	127	529
155	128	529
156	129	529
157	130	528
158	130	527
159	131	525
160	132	524
161	132	522
162	133	521
163	134	520
164	134	519
165	135	518
166	136	517
167	137	516
168	138	516
169	139	515
170	140	515
171	141	515
172	142	514
173	142	514
174	143	513
175	144	512
176	145	511
177	146	510
178	146	509
179	147	508
180	148	507
181	149	506
182	149	504
183	150	503
184	151	502
185	151	501
186	152	500
187	153	499
188	154	499
189	155	498
190	156	498
191	156	497
192	157	495
193	158	494
194	159	493
195	159	492
196	160	491
197	161	489
198	161	489
199	162	487
200	163	486
201	163	485
202	164	484
203	165	482
204	166	482
205	166	480
206	167	479
207	168	478
208	168	477
209	169	477
210	170	476
211	171	476
212	172	475
213	173	474
214	173	473
215	174	472
216	175	471
217	175	469
218	176	467
219	177	466
220	177	465
221	178	464
222	179	463
223	180	462
224	180	461
225	181	460
226	182	459
227	182	458
228	183	457
229	184	456
230	185	455
231	185	455
232	186	454
233	187	453
234	188	452
235	188	451
236	189	451
237	190	450
238	191	449
239	191	447
240	192	446
241	193	445
242	193	444
243	194	443
244	195	443
245	196	442
246	197	441
247	197	440
248	198	439
249	199	438
250	200	437
251	200	437
252	201	436
253	202	435
254	203	434
255	203	432
256	204	432
257	205	430
258	205	429
259	206	428
260	207	427
261	207	426
262	208	425
263	209	424
264	209	423
265	210	422
266	211	421
267	212	421
268	213	420
269	214	421
270	215	420
271	216	419
272	216	418
273	217	417
274	218	416
275	218	415
276	219	414
277	220	413
278	220	412
279	221	411
280	222	410
281	222	409
282	223	408
283	224	407
284	224	406
285	225	405
286	226	404
287	227	404
288	228	404
289	229	403
290	230	402
291	230	401
292	231	400
293	232	399
294	233	398
295	233	398
296	234	397
297	235	396
298	236	395
299	236	394
300	237	393
301	237	392
302	238	391
303	239	390
304	239	389
305	240	388
306	241	388
307	243	388
308	243	387
309	244	386
310	245	385
311	245	384
312	246	383
313	247	382
314	247	381
315	249	382
316	250	382
317	251	381
318	252	380
319	252	379
320	253	378
321	254	377
322	255	376
323	255	375
324	256	375
325	258	375
326	259	375
327	260	374
328	261	373
329	261	372
330	262	371
331	263	371
332	264	370
333	265	369
334	265	368
335	266	368
336	267	367
337	268	366
338	269	366
339	270	366
340	271	365
341	272	364
342	273	363
343	273	362
344	274	362
345	275	361
346	276	360
347	276	359
348	277	358
349	278	357
350	279	356
351	279	356
352	280	355
353	282	356
354	283	355
355	285	355
356	286	355
357	286	354
358	287	353
359	288	352
360	289	351
361	290	351
362	290	350
363	291	349
364	292	348
365	293	347
366	295	349
367	297	348
368	298	348
369	300	348
370	302	349
371	303	349
372	304	349
373	305	348
374	306	347
375	307	346
376	308	346
377	309	345
378	310	345
379	311	344
380	312	343
381	314	344
382	316	344
383	317	343
384	318	343
385	319	342
386	320	341
387	321	341
388	322	340
389	322	339
390	323	338
391	324	337
392	325	336
393	325	335
394	327	335
395	328	335
396	330	335
397	331	334
398	331	333
399	332	332
400	333	331
401	334	331
402	335	330
403	335	329
404	336	328
405	337	327
406	338	326
407	339	325
408	339	324
409	340	323
410	341	323
411	344	324
412	345	323
413	346	322
414	347	322
415	347	321
416	348	320
417	349	319
418	350	318
419	351	318
420	352	317
421	353	316
422	353	315
423	354	314
424	355	313
425	356	312
426	357	312
427	360	313
428	361	312
429	362	311
430	363	310
431	363	309
432	364	309
433	365	308
434	366	307
435	366	306
436	367	305
437	368	304
438	368	303
439	369	302
440	371	302
441	373	302
442	375	302
443	376	301
444	377	301
445	378	300
446	380	300
447	381	299
448	382	298
449	383	297
450	384	297
451	386	297
452	388	297
453	395	301
454	396	300
455	399	301
456	400	300
457	402	300
458	404	300
459	405	299
460	406	299
461	407	298
462	408	297
463	409	296
464	410	295
